Rk,Year,SeasGame,AgeYrs,Tm,Home,Opp,Result,MannSc,OppSc,Start,Cmp,Att,CmpPct,Yds,TD,Int,Rate,Sk
1,1998,1,22,IND,1,MIA,L,15,24,1,21,37,56.76,302,1,3,58.6,4
2,1998,2,22,IND,0,NWE,L,6,29,1,21,33,63.64,188,1,3,51.1,2
3,1998,3,22,IND,0,NYJ,L,6,44,1,20,44,45.45,193,0,2,39.3,1
4,1998,4,22,IND,1,NOR,L,13,19,1,19,32,59.38,309,1,3,63.2,4
5,1998,5,22,IND,1,SDG,W,17,12,1,12,23,52.17,137,1,1,66.8,0
6,1998,6,22,IND,1,BUF,L,24,31,1,20,41,48.78,235,2,2,62.6,0
7,1998,7,22,IND,0,SFO,L,31,34,1,18,30,60,231,3,0,117.5,1
8,1998,8,22,IND,1,NWE,L,16,21,1,30,52,57.69,278,2,2,69.2,0
9,1998,9,22,IND,0,MIA,L,14,27,1,22,42,52.38,140,1,2,47.7,0
10,1998,10,22,IND,1,NYJ,W,24,23,1,26,44,59.09,276,3,2,81.3,1
11,1998,11,22,IND,0,BUF,L,11,34,1,14,29,48.28,164,1,2,48.6,0
12,1998,12,22,IND,0,BAL,L,31,38,1,27,42,64.29,357,3,1,105,2
13,1998,13,22,IND,0,ATL,L,21,28,1,19,27,70.37,159,2,2,79.1,0
14,1998,14,22,IND,1,CIN,W,39,26,1,17,26,65.38,210,3,0,128.7,0
15,1998,15,22,IND,0,SEA,L,23,27,1,23,39,58.97,335,1,1,84.9,2
16,1998,16,22,IND,1,CAR,L,19,27,1,17,34,50,225,1,2,56.6,5
17,1999,1,23,IND,1,BUF,W,31,14,1,21,33,63.64,284,2,2,85.9,0
18,1999,2,23,IND,0,NWE,L,28,31,1,18,30,60,223,3,2,88.6,0
19,1999,3,23,IND,0,SDG,W,27,19,1,29,54,53.7,404,2,1,82.6,0
20,1999,4,23,IND,1,MIA,L,31,34,1,17,24,70.83,274,3,1,130.9,2
21,1999,5,23,IND,0,NYJ,W,16,13,1,21,35,60,210,1,1,74.7,0
22,1999,6,23,IND,1,CIN,W,31,10,1,17,33,51.52,284,2,1,88.4,1
23,1999,7,23,IND,1,DAL,W,34,24,1,22,34,64.71,313,1,0,104.2,1
24,1999,8,23,IND,1,KAN,W,25,17,1,21,33,63.64,290,1,1,89.2,3
25,1999,9,23,IND,0,NYG,W,27,19,1,20,35,57.14,237,2,1,85.1,0
26,1999,10,23,IND,0,PHI,W,44,17,1,16,26,61.54,235,3,0,129.5,1
27,1999,11,23,IND,1,NYJ,W,13,6,1,23,31,74.19,198,1,2,74.4,2
28,1999,12,23,IND,0,MIA,W,37,34,1,23,29,79.31,260,1,2,86.8,2
29,1999,13,23,IND,1,NWE,W,20,15,1,15,27,55.56,186,2,0,101.8,1
30,1999,14,23,IND,1,WAS,W,24,21,1,23,37,62.16,298,2,1,94.2,1
31,1999,15,23,IND,0,CLE,W,29,28,1,27,43,62.79,276,0,0,81.2,0
32,1999,16,23,IND,0,BUF,L,6,31,1,18,29,62.07,163,0,0,77.2,0
33,2000,1,24,IND,0,KAN,W,27,14,1,22,32,68.75,273,1,1,92.3,1
34,2000,2,24,IND,1,OAK,L,31,38,1,33,48,68.75,367,3,2,94.7,2
35,2000,3,24,IND,1,JAX,W,43,14,1,23,36,63.89,440,4,0,143.3,0
36,2000,4,24,IND,0,BUF,W,18,16,1,16,27,59.26,187,2,1,89.6,1
37,2000,5,24,IND,0,NWE,L,16,24,1,31,54,57.41,334,1,3,58.7,2
38,2000,6,24,IND,0,SEA,W,37,24,1,20,30,66.67,281,1,0,107.8,1
39,2000,7,24,IND,1,NWE,W,30,23,1,16,20,80,268,3,0,158.3,0
